6/7/2017  10:32:49  Error detectado, revisar internet
6/7/2017  10:33:7  Error detectado, revisar internet
6/7/2017  10:33:26  Error detectado, revisar internet
6/7/2017  10:33:44  Error detectado, revisar internet
6/7/2017  10:34:2  Error detectado, revisar internet
6/7/2017  10:34:20  Error detectado, revisar internet
6/7/2017  10:34:39  Error detectado, revisar internet
6/7/2017  10:34:57  Error detectado, revisar internet
6/7/2017  10:35:16  Error detectado, revisar internet
6/7/2017  10:35:34  Error detectado, revisar internet
6/7/2017  10:35:53  Error detectado, revisar internet
6/7/2017  10:36:11  Error detectado, revisar internet
6/7/2017  10:36:29  Error detectado, revisar internet
6/7/2017  10:36:48  Error detectado, revisar internet
6/7/2017  10:37:6  Error detectado, revisar internet
6/7/2017  10:37:24  Error detectado, revisar internet
6/7/2017  10:37:42  Error detectado, revisar internet
6/7/2017  10:38:0  Error detectado, revisar internet
6/7/2017  10:38:19  Error detectado, revisar internet
6/7/2017  10:38:37  Error detectado, revisar internet
6/7/2017  10:38:56  Error detectado, revisar internet
6/7/2017  10:39:14  Error detectado, revisar internet
6/7/2017  10:39:33  Error detectado, revisar internet
6/7/2017  10:39:51  Error detectado, revisar internet
6/7/2017  10:40:9  Error detectado, revisar internet
6/7/2017  10:40:28  Error detectado, revisar internet
6/7/2017  10:40:46  Error detectado, revisar internet
6/7/2017  10:41:4  Error detectado, revisar internet
6/7/2017  10:41:23  Error detectado, revisar internet
6/7/2017  10:41:41  Error detectado, revisar internet
6/7/2017  10:41:59  Error detectado, revisar internet
6/7/2017  10:42:18  Error detectado, revisar internet
6/7/2017  10:42:36  Error detectado, revisar internet
6/7/2017  10:42:54  Error detectado, revisar internet
6/7/2017  10:43:13  Error detectado, revisar internet
6/7/2017  10:43:31  Error detectado, revisar internet
6/7/2017  10:43:49  Error detectado, revisar internet
6/7/2017  10:44:7  Error detectado, revisar internet
6/7/2017  10:44:26  Error detectado, revisar internet
6/7/2017  10:44:44  Error detectado, revisar internet
6/7/2017  10:45:2  Error detectado, revisar internet
6/7/2017  10:45:21  Error detectado, revisar internet
6/7/2017  10:45:39  Error detectado, revisar internet
6/7/2017  10:45:57  Error detectado, revisar internet
6/7/2017  10:46:16  Error detectado, revisar internet
6/7/2017  10:46:34  Error detectado, revisar internet
6/7/2017  10:46:52  Error detectado, revisar internet
6/7/2017  10:47:10  Error detectado, revisar internet
6/7/2017  10:47:29  Error detectado, revisar internet
6/7/2017  10:47:47  Error detectado, revisar internet
6/7/2017  10:48:6  Error detectado, revisar internet
6/7/2017  10:48:27  Error detectado, revisar internet
6/7/2017  10:48:45  Error detectado, revisar internet
6/7/2017  10:49:4  Error detectado, revisar internet
6/7/2017  10:49:22  Error detectado, revisar internet
6/7/2017  10:49:41  Error detectado, revisar internet
6/7/2017  10:49:59  Error detectado, revisar internet
6/7/2017  10:50:17  Error detectado, revisar internet
6/7/2017  10:50:36  Error detectado, revisar internet
6/7/2017  10:50:55  Error detectado, revisar internet
6/7/2017  10:51:0  Archivo no encontrado
6/7/2017  10:51:25  Error detectado, revisar internet
6/7/2017  10:51:48  Error detectado, revisar internet
6/7/2017  10:52:10  Error detectado, revisar internet
6/7/2017  10:52:33  Error detectado, revisar internet
6/7/2017  10:52:55  Error detectado, revisar internet
6/7/2017  10:53:17  Error detectado, revisar internet
6/7/2017  10:53:39  Error detectado, revisar internet
6/7/2017  10:54:2  Error detectado, revisar internet
6/7/2017  10:54:24  Error detectado, revisar internet
6/7/2017  10:54:46  Error detectado, revisar internet
6/7/2017  10:59:51  Error detectado, revisar internet
6/7/2017  11:0:13  Error detectado, revisar internet
6/7/2017  11:0:35  Error detectado, revisar internet
6/7/2017  11:0:58  Error detectado, revisar internet
6/7/2017  11:1:25  Error detectado, revisar internet
6/7/2017  11:1:47  Error detectado, revisar internet
6/7/2017  11:2:10  Error detectado, revisar internet
6/7/2017  11:2:32  Error detectado, revisar internet
6/7/2017  11:2:55  Error detectado, revisar internet
6/7/2017  11:3:17  Error detectado, revisar internet
6/7/2017  11:3:39  Error detectado, revisar internet
6/7/2017  11:4:1  Error detectado, revisar internet
6/7/2017  11:4:23  Error detectado, revisar internet
6/7/2017  11:4:46  Error detectado, revisar internet
6/7/2017  11:5:8  Error detectado, revisar internet
6/7/2017  11:5:31  Error detectado, revisar internet
6/7/2017  11:5:53  Error detectado, revisar internet
6/7/2017  11:6:16  Error detectado, revisar internet
6/7/2017  11:6:38  Error detectado, revisar internet
6/7/2017  11:7:0  Error detectado, revisar internet
6/7/2017  11:7:23  Error detectado, revisar internet
6/7/2017  11:7:45  Error detectado, revisar internet
6/7/2017  11:8:7  Error detectado, revisar internet
6/7/2017  11:8:29  Error detectado, revisar internet
6/7/2017  11:8:52  Error detectado, revisar internet
6/7/2017  11:9:15  Error detectado, revisar internet
6/7/2017  11:9:38  Error detectado, revisar internet
6/7/2017  11:10:0  Error detectado, revisar internet
6/7/2017  11:10:22  Error detectado, revisar internet
6/7/2017  11:10:44  Error detectado, revisar internet
6/7/2017  11:11:7  Error detectado, revisar internet
6/7/2017  11:11:29  Error detectado, revisar internet
6/7/2017  11:11:51  Error detectado, revisar internet
6/7/2017  11:12:14  Error detectado, revisar internet
6/7/2017  11:12:36  Error detectado, revisar internet
6/7/2017  11:12:59  Error detectado, revisar internet
6/7/2017  11:13:21  Error detectado, revisar internet
6/7/2017  11:13:43  Error detectado, revisar internet
6/7/2017  11:14:5  Error detectado, revisar internet
6/7/2017  11:14:28  Error detectado, revisar internet
6/7/2017  11:14:50  Error detectado, revisar internet
6/7/2017  11:15:13  Error detectado, revisar internet
6/7/2017  11:15:35  Error detectado, revisar internet
6/7/2017  11:15:57  Error detectado, revisar internet
6/7/2017  11:16:19  Error detectado, revisar internet
